rule;output;simulations
0;1;"1_execution_rule_0_"
46;111;"1_execution_rule_46_"
69;3080;"1_execution_rule_69_"
92;867;"1_execution_rule_92_"
115;3135;"1_execution_rule_115_"
139;5996;"1_execution_rule_139_"
162;56;"1_execution_rule_162_"
185;5996;"1_execution_rule_185_"
208;56;"1_execution_rule_208_"
231;6051;"1_execution_rule_231_"
255;6106;"1_execution_rule_255_"
0;1;"2_execution_rule_0_"
46;111;"2_execution_rule_46_"
69;3080;"2_execution_rule_69_"
92;867;"2_execution_rule_92_"
115;3135;"2_execution_rule_115_"
139;5996;"2_execution_rule_139_"
162;56;"2_execution_rule_162_"
185;5996;"2_execution_rule_185_"
208;56;"2_execution_rule_208_"
231;6051;"2_execution_rule_231_"
255;6106;"2_execution_rule_255_"
